# GetLDSScan of a BotVac D6 Connected (software 4.5.3.189) taken while it was
# cleaning -- the lidar only turns on its own during a run. Docked, every row
# reads 0 and ROTATION_SPEED is 0.00.
#
# Kept verbatim: the invalid rows and the out-of-range distances are the point.
# A filter written against a clean scan would pass them straight into the map.
AngleInDegrees,DistInMM,Intensity,ErrorCodeHEX
0,1284,167,0
1,1266,172,0
2,1248,171,0
3,1230,178,0
4,1214,186,0
5,1198,193,0
6,1183,200,0
7,1170,208,0
8,1158,220,0
9,1145,196,0
10,1137,164,0
11,1126,108,0
12,1116,65,0
13,1106,21,0
14,0,0,8035
15,0,0,8035
16,1060,35,0
17,1054,114,0
18,1049,186,0
19,1043,234,0
20,1038,262,0
21,1031,262,0
22,1026,275,0
23,1018,282,0
24,1014,285,0
25,1008,282,0
26,0,282,8021
27,999,289,0
28,995,299,0
29,990,291,0
30,986,292,0
31,983,303,0
32,983,308,0
33,979,301,0
34,979,317,0
35,980,288,0
36,1097,97,0
37,1109,236,0
38,1103,158,0
39,1103,154,0
40,1101,158,0
41,1103,171,0
42,1102,172,0
43,1102,164,0
44,1103,157,0
45,1105,175,0
46,1107,208,0
47,1107,217,0
48,1109,194,0
49,1110,198,0
50,0,198,8021
51,1114,205,0
52,1116,191,0
53,1120,191,0
54,1123,174,0
55,1127,98,0
56,2671,9,0
57,0,0,8035
58,2683,10,0
59,2693,6,0
60,0,0,8035
61,0,0,8035
62,0,0,8035
63,0,0,8035
64,0,0,8035
65,0,0,8035
66,0,0,8035
67,0,0,8035
68,0,0,8035
69,3486,13,0
70,3531,15,0
71,3436,16,0
72,3594,11,0
73,3632,13,0
74,3680,18,0
75,3741,16,0
76,3748,15,0
77,3803,16,0
78,3756,14,0
79,3782,16,0
80,3940,13,0
81,3934,14,0
82,3914,14,0
83,4108,10,0
84,3994,6,0
85,3668,11,0
86,3608,14,0
87,3683,11,0
88,3811,6,0
89,3968,9,0
90,0,0,8035
91,0,0,8035
92,0,0,8035
93,4114,7,0
94,0,0,8035
95,0,0,8035
96,0,0,8035
97,0,0,8035
98,0,0,8035
99,0,0,8035
100,0,0,8035
101,0,0,8035
102,3536,7,0
103,3690,8,0
104,3589,8,0
105,3570,9,0
106,3486,10,0
